code,name_english,name_spanish,colour
BIO,Biomass,Biomasa,forestgreen
COA,Coal,Carbón,black
CRU,Crude oil,Petróleo crudo,red
DSL,Diesel,Diésel,orange
ELC,Electricity,Electricidad,grey
GEO,Geothermal,Geotérmica,purple
GSL,Gasoline,Gasolina,orange
HFO,HFO,HFO,brown
HYD,Hydro,Hidro,blue
JFL,Jet fuel,Jet fuel,firebrick
LNG,LNG,LNG,purple
LPG,LPG,GLP,gold
PCK,Petroleum coke,Coque de petróleo,red
NGS,Natural gas,Gas natural,purple
OHC,Oil products,Otros hidrocarburos,grey
PET,Petroleum products,Petroleum products,red
SOL,Solar,Solar,gold
URN,Nuclear,Nuclear,grey
WAS,MSW,Residuos,green
WAT,Water,Agua,blue
LND,Land,Suelo,green
WND,Wind,Eólica,violet
CP01,Barley,Barley,red
CP02,Cereals,Cereals,brown
CP03,Maize,Maize,grey
CP04,Oilseeds,Oilseeds,pink
CP05,Other,Other,red
CP06,Pulses,Pulses,magenta
CP07,Sorghum,Sorghum,purple
CP08,Teff,Teff,grey
CP09,Wheat,Wheat,gold
AGR,Agriculture,Tierras agrícolas,brown
BAR,Barren land,Tierra estéril,grey
FOR,Forests,Bosques,forestgreen
GRS,Grassland & woodland,Praderas y zonas boscosas,orange
BLT,Built-up land,Asentamientos,black
OTH,Other,Otras tierras agrícolas,gold
PWR,Power sector,Centrales eléctricas,red
PUB,Public supply,Abastecimiento público,grey
EVT,Evapotranspiration,Evapotranspiración,green
PRC,Precipitation,Precipitación,blue
GRC,Groundwater recharge,Recarga de agua subterránea,orange
GWT,Groundwater,,purple
SUR,Surface water run-off,Agua superficial,red
IRR,Irrigation,Irrigación,brown
REN,Other renewables,Otras fuentes renovables,green
OIL,Oil,Petróleo,firebrick
GAS,Gas,Gas,purple
MAZ,Maize,Maíz,gold
SOR,Sorghum,Sorgo,purple
SOY,Soybean,Soya,firebrick
CDA,Sugarcane,Caña de azúcar,green
PAP,Potatoes,Papa,orange
TLD,Other crops,Otros cultivos,grey
LPG,LPG,LPG,pink
KER,Kerosene,Kerosene,violet
RES,Residential,Residential,blue
TRA,Transport,Transport,black
IND,Industry,Industry,grey
COM,Commercial & services,Commercial & services,green
ELC_IMP,Electricity imports,,pink
PWR_WAT,Power sector (consumptive use),,lightblue
PWR_WITH,Power sector (withdrawal),,darkblue
ELC_EXP,Electricity exports,,pink
ELC_NET,Net electricity imports,,pink
MIG,Mining,Mining,gold
PCK,Petroleum coke,Petroleum coke,red
JET,Aviation fuels,Aviation fuels,purple
NAP,Naptha,Naptha,white
LVSPRDALL,Livestock,Livestock,purple
LVS,Livestock,Livestock,purple
